Age,Years_at_Company,Performance_Score,Leadership_Score,Training_Hours,Projects_Handled,Peer_Review_Score,Current_Position_Level,Promotion_Eligible,Training_Level,Leadership_Level,Projects_per_Years,Project_Level,Tenure_Level,Age_Group,Projects_per_Years_log
24.0,21.0,2.0,44.0,42.0,19.0,61.0,Junior,0,Low,Medium,0.8636363636363636,High,Senior,Young,0.622529613345992
50.0,8.0,5.0,45.0,66.0,11.0,6.0,Junior,0,Low,Medium,1.2222222222222223,Very High,New,Senior,0.7985076962177716
56.0,9.0,5.0,19.0,96.0,6.0,86.0,Lead,0,Moderate,Low,0.6,Moderate,Mid,Senior,0.4700036292457356
39.0,24.0,4.0,51.0,16.0,6.0,52.0,Senior,0,Very Low,Medium,0.24,Low,Veteran,Early Mid,0.2151113796169455
41.0,15.0,4.0,64.0,57.0,16.0,59.0,Junior,0,Low,High,1.0,High,Mid,Early Mid,0.6931471805599453
44.0,15.0,1.0,76.0,143.0,19.0,32.0,Junior,1,High,Very High,1.1875,Very High,Mid,Late Mid,0.7827593392496325
55.0,19.0,4.0,75.0,98.0,5.0,91.0,Senior,0,Moderate,Very High,0.25,Low,Senior,Senior,0.22314355131420976
41.0,11.0,3.0,67.0,145.0,8.0,19.0,Mid,0,High,High,0.6666666666666666,High,Mid,Early Mid,0.5108256237659907
31.0,6.0,2.0,75.0,184.0,19.0,36.0,Junior,0,Very High,Very High,2.7142857142857144,Very High,New,Young,1.3121863889661687
54.0,17.0,1.0,92.0,71.0,1.0,1.0,Mid,0,Low,Very High,0.05555555555555555,Low,Senior,Senior,0.054067221270275766
54.0,14.0,4.0,51.0,63.0,5.0,94.0,Mid,1,Low,Medium,0.3333333333333333,Low,Mid,Senior,0.2876820724517809
47.0,5.0,4.0,15.0,108.0,10.0,34.0,Junior,0,Moderate,Low,1.6666666666666667,Very High,New,Late Mid,0.9808292530117262
41.0,16.0,1.0,95.0,127.0,2.0,87.0,Mid,1,High,Very High,0.11764705882352941,Low,Senior,Early Mid,0.11122563511022437
36.0,24.0,4.0,47.0,61.0,14.0,53.0,Lead,1,Low,Medium,0.56,Moderate,Veteran,Early Mid,0.44468582126144574
58.0,4.0,4.0,22.0,143.0,14.0,48.0,Junior,0,High,Low,2.8,Very High,New,Senior,1.33500106673234
54.0,14.0,4.0,1.0,186.0,2.0,3.0,Lead,0,Very High,Low,0.13333333333333333,Low,Mid,Senior,0.12516314295400602
38.0,27.0,1.0,69.0,31.0,10.0,68.0,Lead,0,Very Low,High,0.35714285714285715,Low,Veteran,Early Mid,0.30538164955118186
26.0,15.0,3.0,51.0,72.0,2.0,51.0,Junior,0,Low,Medium,0.125,Low,Mid,Young,0.11778303565638346
25.0,18.0,1.0,93.0,57.0,17.0,87.0,Senior,0,Low,Very High,0.8947368421052632,High,Senior,Young,0.6390799592896695
24.0,2.0,1.0,62.0,36.0,12.0,73.0,Lead,1,Very Low,High,4.0,Very High,New,Young,1.6094379124341003
42.0,2.0,4.0,27.0,18.0,18.0,50.0,Junior,1,Very Low,Low,6.0,Very High,New,Late Mid,1.9459101490553132
42.0,15.0,2.0,1.0,197.0,10.0,80.0,Mid,1,Very High,Low,0.625,Moderate,Mid,Late Mid,0.48550781578170077
29.0,7.0,5.0,33.0,103.0,18.0,51.0,Senior,0,Moderate,Medium,2.25,Very High,New,Young,1.1786549963416462
57.0,15.0,2.0,80.0,180.0,10.0,88.0,Lead,0,Very High,Very High,0.625,Moderate,Mid,Senior,0.48550781578170077
50.0,4.0,4.0,88.0,4.0,7.0,62.0,Junior,1,Very Low,Very High,1.4,Very High,New,Senior,0.8754687373538999
55.0,14.0,2.0,10.0,131.0,16.0,56.0,Mid,0,High,Low,1.0666666666666667,High,Mid,Senior,0.7259370033829362
43.0,15.0,3.0,51.0,40.0,14.0,12.0,Lead,0,Very Low,Medium,0.875,High,Mid,Late Mid,0.6286086594223741
52.0,13.0,3.0,52.0,103.0,0.0,8.0,Junior,0,Moderate,High,0.0,Low,Mid,Senior,0.0
49.0,20.0,4.0,62.0,192.0,2.0,4.0,Mid,0,Very High,High,0.09523809523809523,Low,Senior,Late Mid,0.09097177820572669
