,Age,Years_at_Company,Performance_Score,Leadership_Score,Training_Hours,Projects_Handled,Peer_Review_Score,Current_Position_Level,Training_Level,Leadership_Level,Projects_per_Years,Project_Level,Tenure_Level,Age_Group,Projects_per_Years_log
0,24.0,21.0,2.0,44.0,42.0,19.0,61.0,Junior,Low,Medium,0.8636363636363636,High,Senior,Young,0.622529613345992
1,50.0,8.0,5.0,45.0,66.0,11.0,6.0,Junior,Low,Medium,1.2222222222222223,Very High,New,Senior,0.7985076962177716
2,56.0,9.0,5.0,19.0,96.0,6.0,86.0,Lead,Moderate,Low,0.6,Moderate,Mid,Senior,0.4700036292457356
3,39.0,24.0,4.0,51.0,16.0,6.0,52.0,Senior,Very Low,Medium,0.24,Low,Veteran,Early Mid,0.2151113796169455
4,41.0,15.0,4.0,64.0,57.0,16.0,59.0,Junior,Low,High,1.0,High,Mid,Early Mid,0.6931471805599453
5,44.0,15.0,1.0,76.0,143.0,19.0,32.0,Junior,High,Very High,1.1875,Very High,Mid,Late Mid,0.7827593392496325
6,55.0,19.0,4.0,75.0,98.0,5.0,91.0,Senior,Moderate,Very High,0.25,Low,Senior,Senior,0.22314355131420976
7,41.0,11.0,3.0,67.0,145.0,8.0,19.0,Mid,High,High,0.6666666666666666,High,Mid,Early Mid,0.5108256237659907
8,31.0,6.0,2.0,75.0,184.0,19.0,36.0,Junior,Very High,Very High,2.7142857142857144,Very High,New,Young,1.3121863889661687
9,54.0,17.0,1.0,92.0,71.0,1.0,1.0,Mid,Low,Very High,0.05555555555555555,Low,Senior,Senior,0.054067221270275766
10,54.0,14.0,4.0,51.0,63.0,5.0,94.0,Mid,Low,Medium,0.3333333333333333,Low,Mid,Senior,0.2876820724517809
11,47.0,5.0,4.0,15.0,108.0,10.0,34.0,Junior,Moderate,Low,1.6666666666666667,Very High,New,Late Mid,0.9808292530117262
12,41.0,16.0,1.0,95.0,127.0,2.0,87.0,Mid,High,Very High,0.11764705882352941,Low,Senior,Early Mid,0.11122563511022437
13,36.0,24.0,4.0,47.0,61.0,14.0,53.0,Lead,Low,Medium,0.56,Moderate,Veteran,Early Mid,0.44468582126144574
14,58.0,4.0,4.0,22.0,143.0,14.0,48.0,Junior,High,Low,2.8,Very High,New,Senior,1.33500106673234
15,54.0,14.0,4.0,1.0,186.0,2.0,3.0,Lead,Very High,Low,0.13333333333333333,Low,Mid,Senior,0.12516314295400602
16,38.0,27.0,1.0,69.0,31.0,10.0,68.0,Lead,Very Low,High,0.35714285714285715,Low,Veteran,Early Mid,0.30538164955118186
17,26.0,15.0,3.0,51.0,72.0,2.0,51.0,Junior,Low,Medium,0.125,Low,Mid,Young,0.11778303565638346
18,25.0,18.0,1.0,93.0,57.0,17.0,87.0,Senior,Low,Very High,0.8947368421052632,High,Senior,Young,0.6390799592896695
19,24.0,2.0,1.0,62.0,36.0,12.0,73.0,Lead,Very Low,High,4.0,Very High,New,Young,1.6094379124341003
20,42.0,2.0,4.0,27.0,18.0,18.0,50.0,Junior,Very Low,Low,6.0,Very High,New,Late Mid,1.9459101490553132
22,42.0,15.0,2.0,1.0,197.0,10.0,80.0,Mid,Very High,Low,0.625,Moderate,Mid,Late Mid,0.48550781578170077
23,29.0,7.0,5.0,33.0,103.0,18.0,51.0,Senior,Moderate,Medium,2.25,Very High,New,Young,1.1786549963416462
24,57.0,15.0,2.0,80.0,180.0,10.0,88.0,Lead,Very High,Very High,0.625,Moderate,Mid,Senior,0.48550781578170077
25,50.0,4.0,4.0,88.0,4.0,7.0,62.0,Junior,Very Low,Very High,1.4,Very High,New,Senior,0.8754687373538999
26,55.0,14.0,2.0,10.0,131.0,16.0,56.0,Mid,High,Low,1.0666666666666667,High,Mid,Senior,0.7259370033829362
27,43.0,15.0,3.0,51.0,40.0,14.0,12.0,Lead,Very Low,Medium,0.875,High,Mid,Late Mid,0.6286086594223741
28,52.0,13.0,3.0,52.0,103.0,0.0,8.0,Junior,Moderate,High,0.0,Low,Mid,Senior,0.0
29,49.0,20.0,4.0,62.0,192.0,2.0,4.0,Mid,Very High,High,0.09523809523809523,Low,Senior,Late Mid,0.09097177820572669
30,56.0,16.0,3.0,61.0,13.0,8.0,51.0,Mid,Very Low,High,0.47058823529411764,Moderate,Senior,Senior,0.3856624808119847
31,55.0,6.0,4.0,38.0,170.0,13.0,16.0,Lead,Very High,Medium,1.8571428571428572,Very High,New,Senior,1.0498221244986778
32,34.0,4.0,4.0,18.0,38.0,14.0,2.0,Mid,Very Low,Low,2.8,Very High,New,Early Mid,1.33500106673234
33,25.0,23.0,1.0,1.0,56.0,18.0,75.0,Senior,Low,Low,0.75,High,Veteran,Young,0.5596157879354227
34,27.0,26.0,2.0,42.0,80.0,10.0,45.0,Senior,Low,Medium,0.37037037037037035,Moderate,Veteran,Young,0.31508104663989533
35,22.0,24.0,1.0,30.0,31.0,14.0,53.0,Lead,Very Low,Medium,0.56,Moderate,Veteran,Young,0.44468582126144574
36,33.0,20.0,4.0,64.0,79.0,10.0,19.0,Lead,Low,High,0.47619047619047616,Moderate,Senior,Early Mid,0.38946476676172326
37,56.0,13.0,5.0,51.0,82.0,17.0,21.0,Junior,Low,Medium,1.2142857142857142,Very High,Mid,Senior,0.7949298748698876
38,32.0,7.0,5.0,51.0,28.0,15.0,41.0,Lead,Very Low,Medium,1.875,Very High,New,Young,1.0560526742493137
39,44.0,13.0,4.0,63.0,170.0,10.0,78.0,Junior,Very High,High,0.7142857142857143,High,Mid,Late Mid,0.538996500732687
40,35.0,1.0,5.0,10.0,128.0,10.0,39.0,Mid,High,Low,5.0,Very High,New,Early Mid,1.791759469228055
41,40.0,14.0,2.0,89.0,115.0,7.0,54.0,Lead,Moderate,Very High,0.4666666666666667,Moderate,Mid,Early Mid,0.3829922522561058
42,58.0,2.0,1.0,12.0,74.0,10.0,6.0,Mid,Low,Low,3.3333333333333335,Very High,New,Senior,1.4663370687934272
43,37.0,25.0,2.0,92.0,49.0,19.0,68.0,Mid,Low,Very High,0.7307692307692307,High,Veteran,Early Mid,0.5485659517488377
44,49.0,3.0,3.0,62.0,25.0,10.0,64.0,Lead,Very Low,High,2.5,Very High,New,Late Mid,1.252762968495368
45,52.0,1.0,1.0,51.0,171.0,2.0,79.0,Senior,Very High,Medium,1.0,High,New,Senior,0.6931471805599453
46,28.0,2.0,1.0,49.0,72.0,5.0,59.0,Junior,Low,Medium,1.6666666666666667,Very High,New,Young,0.9808292530117262
47,48.0,22.0,2.0,12.0,179.0,17.0,73.0,Senior,Very High,Low,0.7391304347826086,High,Senior,Late Mid,0.5533852381847866
49,28.0,14.0,4.0,29.0,103.0,19.0,98.0,Senior,Moderate,Medium,1.2666666666666666,Very High,Mid,Young,0.8183103235139513
50,36.0,2.0,2.0,53.0,94.0,13.0,13.0,Senior,Moderate,High,4.333333333333333,Very High,New,Early Mid,1.6739764335716716
51,33.0,15.0,5.0,36.0,157.0,10.0,33.0,Lead,High,Medium,0.625,Moderate,Mid,Early Mid,0.48550781578170077
52,29.0,8.0,2.0,24.0,92.0,12.0,46.0,Lead,Moderate,Low,1.3333333333333333,Very High,New,Young,0.8472978603872036
53,23.0,15.0,5.0,34.0,142.0,2.0,15.0,Senior,High,Medium,0.125,Low,Mid,Young,0.11778303565638346
54,59.0,19.0,2.0,45.0,36.0,13.0,74.0,Junior,Very Low,Medium,0.65,High,Senior,Senior,0.5007752879124893
55,47.0,10.0,4.0,54.0,189.0,3.0,21.0,Junior,Very High,High,0.2727272727272727,Low,Mid,Late Mid,0.24116205681688807
56,42.0,15.0,3.0,81.0,84.0,11.0,25.0,Lead,Low,Very High,0.6875,High,Mid,Late Mid,0.5232481437645479
57,34.0,25.0,3.0,16.0,106.0,8.0,7.0,Senior,Moderate,Low,0.3076923076923077,Low,Veteran,Early Mid,0.26826398659467937
58,40.0,25.0,4.0,62.0,60.0,1.0,7.0,Senior,Low,High,0.038461538461538464,Low,Veteran,Early Mid,0.03774032798284703
59,39.0,15.0,3.0,13.0,147.0,18.0,6.0,Mid,High,Low,1.125,High,Mid,Early Mid,0.7537718023763802
60,23.0,29.0,5.0,14.0,153.0,1.0,60.0,Mid,High,Low,0.03333333333333333,Low,Veteran,Young,0.03278982282299087
61,49.0,9.0,4.0,76.0,161.0,8.0,39.0,Lead,Very High,Very High,0.8,High,Mid,Late Mid,0.5877866649021191
62,44.0,28.0,3.0,3.0,130.0,18.0,51.0,Junior,High,Low,0.6206896551724138,Moderate,Veteran,Late Mid,0.48285177172358457
64,25.0,25.0,2.0,44.0,101.0,12.0,24.0,Junior,Moderate,Medium,0.46153846153846156,Moderate,Veteran,Young,0.37948962170490375
65,33.0,16.0,1.0,19.0,171.0,17.0,82.0,Junior,Very High,Low,1.0,High,Senior,Early Mid,0.6931471805599453
66,43.0,24.0,2.0,9.0,127.0,4.0,36.0,Senior,High,Low,0.16,Low,Veteran,Late Mid,0.14842000511827327
67,41.0,10.0,1.0,24.0,31.0,18.0,15.0,Senior,Very Low,Low,1.6363636363636365,Very High,Mid,Early Mid,0.9694005571881035
68,56.0,26.0,4.0,3.0,192.0,4.0,67.0,Mid,Very High,Low,0.14814814814814814,Low,Veteran,Senior,0.13815033848081718
69,25.0,23.0,2.0,83.0,189.0,11.0,25.0,Senior,Very High,Very High,0.4583333333333333,Moderate,Veteran,Young,0.37729423114146804
70,33.0,14.0,4.0,86.0,91.0,18.0,0.0,Lead,Moderate,Very High,1.2,Very High,Mid,Early Mid,0.7884573603642702
71,25.0,11.0,3.0,3.0,180.0,7.0,27.0,Lead,Very High,Low,0.5833333333333334,Moderate,Mid,Young,0.4595323293784402
72,52.0,24.0,2.0,8.0,5.0,9.0,51.0,Mid,Very Low,Low,0.36,Moderate,Veteran,Senior,0.3074846997479606
73,28.0,25.0,5.0,56.0,66.0,15.0,32.0,Senior,Low,High,0.5769230769230769,Moderate,Veteran,Young,0.4554755286828257
74,31.0,6.0,3.0,47.0,92.0,9.0,69.0,Senior,Moderate,Medium,1.2857142857142858,Very High,New,Young,0.8266785731844679
